TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,EKF_Lat,EKF_Lng,EKF_Alt,Guided_Lat,Guided_Lng,Guided_Alt
1266068351,,,,36.0757789,136.2132966,0.5199999809265137,,,
1266085507,36.0757789,136.2132966,0.53,,,,,,
1266125673,36.0757789,136.2132966,0.53,,,,,,
1266145476,36.0757789,136.2132966,0.53,,,,,,
1266165708,36.0757789,136.2132966,0.53,,,,,,
1266168343,,,,36.0757789,136.2132966,0.5199999809265137,,,
1266185474,36.0757789,136.2132966,0.53,,,,,,
1266205478,36.0757789,136.2132966,0.53,,,,,,
1266225734,36.0757789,136.2132966,0.53,,,,,,
1266245488,36.0757789,136.2132966,0.53,,,,,,
1266268320,,,,36.0757789,136.2132966,0.5199999809265137,,,
1266285542,36.0757789,136.2132966,0.53,,,,,,
1266325679,36.0757789,136.2132966,0.53,,,,,,
1266345468,36.0757789,136.2132966,0.53,,,,,,
1266365728,36.0757789,136.2132966,0.53,,,,,,
1266368367,,,,36.0757789,136.2132966,0.5199999809265137,,,
1266385531,36.0757789,136.2132966,0.53,,,,,,
1266405525,36.0757789,136.2132966,0.53,,,,,,
1266425712,36.0757789,136.2132966,0.53,,,,,,
1266465898,36.0757789,136.2132966,0.53,,,,,,
1266468378,,,,36.0757789,136.2132966,0.5199999809265137,,,
1266485524,36.0757789,136.2132966,0.53,,,,,,
1266525884,36.0757789,136.2132966,0.53,,,,,,
1266545546,36.0757789,136.2132966,0.53,,,,,,
1266568376,,,,36.0757789,136.2132966,0.5199999809265137,,,
1266585519,36.0757789,136.2132966,0.53,,,,,,
1266605516,36.0757789,136.2132966,0.53,,,,,,
1266645522,36.0757789,136.2132966,0.53,,,,,,
1266665714,36.0757789,136.2132966,0.53,,,,,,
1266668388,,,,36.0757789,136.2132966,0.5099999904632568,,,
1266685469,36.0757789,136.2132966,0.53,,,,,,
1266725701,36.0757789,136.2132966,0.53,,,,,,
1266745450,36.0757789,136.2132966,0.53,,,,,,
1266765684,36.0757789,136.2132966,0.53,,,,,,
1266768413,,,,36.0757789,136.2132966,0.5099999904632568,,,
1266805559,36.0757789,136.2132966,0.53,,,,,,
1266845516,36.0757789,136.2132966,0.53,,,,,,
1266865706,36.0757789,136.2132966,0.53,,,,,,
1266868398,,,,36.0757789,136.2132966,0.5099999904632568,,,
1266885473,36.0757789,136.2132966,0.53,,,,,,
1266905471,36.0757789,136.2132966,0.53,,,,,,
1266925721,36.0757789,136.2132966,0.53,,,,,,
1266965825,36.0757789,136.2132966,0.53,,,,,,
1266968374,,,,36.0757789,136.2132966,0.5099999904632568,,,
1267005533,36.0757789,136.2132966,0.53,,,,,,
1267025873,36.0757789,136.2132966,0.53,,,,,,
1267045528,36.0757789,136.2132966,0.53,,,,,,
1267068370,,,,36.0757789,136.2132966,0.5099999904632568,,,
1267085530,36.0757789,136.2132966,0.53,,,,,,
1267105469,36.0757789,136.2132966,0.53,,,,,,
1267145533,36.0757789,136.2132966,0.53,,,,,,
1267165915,36.0757789,136.2132966,0.53,,,,,,
1267168527,,,,36.0757789,136.2132966,0.5099999904632568,,,
1267185498,36.0757789,136.2132966,0.53,,,,,,
1267205508,36.0757789,136.2132966,0.53,,,,,,
1267245527,36.0757789,136.2132966,0.53,,,,,,
1267265701,36.0757789,136.2132966,0.53,,,,,,
1267268389,,,,36.0757789,136.2132966,0.5099999904632568,,,
1267305532,36.0757789,136.2132966,0.53,,,,,,
